Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
Internal Audit Manager (Big 4 Audit/ Good English) Based in Ladprao 90K+,"AOU ASIA RECRUITMENT CO., LTD.","Lat Phrao, Bangkok",Audit - External,Full time,70000,89999,"Leading large organization companies based in Heart of Bangkok Interested click quick apply or send CV to kasemsak (@) aouasia.com or please call “0 63-726-6628 ” Feel free to connect me for more jobs Job Responsibilities Directly report to Group Internal Audit Manager in Singapore. Engaged in planning and drafting of the audit programs and questionnaires. Perform Financial, Operational and Compliance audit Thailand and its subsidiaries. Discuss and understand with the auditee on the audit findings and getting their concurrence on the proposed recommendations. Prepare formal written audit reports. Timely follow up with the auditee on the agreed recommendations. Perform monthly data analysis according to instruction. Perform audit at other countries in the group if needed. Supervise and provide guidance to a staff. Job Qualifications Candidate must possess at least a Bachelor’s Degree in Accountancy/Finance. Strong in English speaking and writing skills. Up to 1 year(s) of audit manager working experience in big 4 audit firm. Strong in Company Act and Business law. Excellent computer skills in MS Word, Excel and PowerPoint Familiar with financial software and ERP system would be an advantage. Ability to learn quickly, a team player, strong communication and interpersonal skills."
Accounting Officer/พนักงานฝ่ายบัญชี (ด้านจ่าย),KURZ (Thailand) LTD.,"Khlong Toei, Bangkok",Financial Accounting & Reporting,Full time,,,"Investigate and resolve vendors queries Monitor vendors account details for payments and other irregularities Perform Accounts Payable functions including generating of payment vouchers, withholding tax certificate Monitor and control vendors credit terms Reconciles processed work by verifying entries and comparing system report to balances Reconciles A/P to the G/L and other accounts Maintain an accurate aging report Perform payment plan from vendors Assist with month-end closing Confirm statement of outstanding vendors may require time to time."
Accountant/บัญชี/ธุรการ,"AMAZING TEA LTD., PART.",Chiang Mai,Taxation,Full time,,,"ลักษณะงาน 1.ทำรายการซื้อ ขาย จ่ายชำระ รับชำระหนี้ 2.ออกภาษีหัก ณ ที่จ่าย , ทำรายงานภาษีซื้อ-ขาย , ยื่นภพ.30 3.เช็คสต็อคสินค้า 4.ปิดงบสิ้นเดือน คุณสมบัติ 1.มีประสบการทำงานอย่างน้อย 1 ปี 2.สามารถใช้โปรแกรมบัญชี express 3.มีความซื้อสัตย์ ขยัน รอบคอบ กระตือรือล้น 4.มีมนุษยสัมพันธ์ที่ดี สามารถทำงานร่มกับผู้อื่นได้ 5.สามารถขับรถยนต์ได้"
"General Audit - SME, Trade Finance", The Thai Credit Bank Public Company Limited  / บมจ. ธนาคารไทยเครดิต ,"Din Daeng, Bangkok",Audit - Internal,Full time,,,"Scope of the role: (สรุปขอบเขตงาน) Participate in risk assessment and annual internal audit plan and conduct internal audits in accordance with the approved Bank Business Process Audit Plan. Responsible for overseeing and managing audit engagement projects of the Bank’s business processes such as credit processes, foreign currency transactions, support functions, Risk Management, NPL management process, loan loss provisioning (ECL), etc. and able to audit application controls in relation to that business process. Allocate resources appropriately, including monitoring and ensuring that the audit is in accordance with the specified plan. Determine the scope of the audit by assessing the risk (Risk-based Auditing), gatherinformation for audit planning and design Audit Program. Perform audits by evaluating control design effectiveness and control operating effectiveness. Review or participate in special project audits as assigned. Perform audit tasks by using Data Analytics to assist in auditing. Be proactive when discovering or acknowledging issues with significant risks. Able to plan for internal control audit in a timely manner and be responsible for providing advice to the audittee upon requested (Advisory Service). Education: (ระดับการศึกษา) Bachelor’s or Master’s degree in accounting, finance, banking, information technology or related field) Work Experiences: (ประสบการณ์ / สาขา) Minimum of 10 years of experience in bank’s internal audit. Having experiences in auditing banking business especially lending process, Market Conduct, trade finance, foreign exchange transaction, ECL model or having experiences in auditing financial services industry as an external auditor. Using Data Analytics to support audit works. Have experience in managing team. Specialized Knowledge & Skills: (ความรู้และทักษะเฉพาะ) Certified Internal Auditor or other relevant certifications e.g. CPA, CISA. Strong knowledge of the relevant Bank of Thailand regulations. Excellent project management skills. Good communication in both Thai and English (Both writing and speaking). Good communication and interpersonal skill. Proactive. Ability to work independently and as part of a team."
E-Payment Bill Tender Supervisor,Zuellig Pharma Ltd.,"Khlong Toei, Bangkok",Accounts Receivable/Credit Control,Full time,,,"Duties & Responsibilities Planning Plan for monthly billing to E-Payment customers Plan for Tender collection in weekly and monthly basis Key Operator To ensure that all invoices paid has been allocated within time frame To prepare supporting letter to customers To support customer and Collections team in problem solving To ensure that invoices paid are keyed in and allocated to customer as soon as possible, most of them should be key in after bill placement and received cheque payment from BIA To ensure Tender's POD returns from DC for collection Reconciliation between AR Tender and GL BIA monthly report will perform every month Reporting To prepare the monthly billing report to E-Payment customers To prepare monthly provision report To prepare month-end report To prepare weekly pending case report To keep inform any problem cause to collection for further step process Others To handle any assignments, which will be from time to time assigned by AR Manager, and complete them within the predefined time frame. Qualification & Experience Experience in Finance & Accounting Familiar with SAP is an advantage Experience in people management (supervise & coaching role) Experience in E-payment and tender process & control Control & manage Bill/GL Reconciliation AR aging analysis, analytical skill is good Outward mindset & good attitude"
Internal Auditor Officer,Phillip Securities (Thailand) Public Company Limited,"Bang Rak, Bangkok",Audit - Internal,Full time,,,"Responsibilities: Design Audit Program / Plan. Conduct Operational Review / Audit. Conduct risk assessments and identify controls in place to mitigate risk. Provide advice on Internal Control / AMLO. Qualification: Bachelor’s degree in Accounting, Business Administration or related fields, Fresh graduated are welcome. Working experience 1-3 years in internal audit Broker, Banking, Financial business, external Auditor from Audit Firm. Strong verbal and written communication skills in both Thai and English Be able to travel Human Resources Department PHILLIP SECURITIES (THAILAND) PUBLIC COMPANY LIMITED 11th Floor, Vorawat Building, 849 Silom Road, Bangkok 10500Tel. 02-635-1700 Ext. 111 ,112 www.poems.in.th"
Assistant Director of Finance/ผู้ช่วยผู้อำนวยการฝ่ายการเงิน,MBK Public Company Limited,"Mueang Pathum Thani, Pathum Thani",Financial Accounting & Reporting,Full time,,,"JOB SUMMARY The Assistant Controller manages the day-to-day operation of the Accounting Office. Primary responsibilities include financial analysis and financial reporting, budgeting/forecasting, audit and control, asset and liability reconciliation, working capital and cash control. Maintaining Finance and Accounting Goals Submits reports in a timely manner, ensuring delivery deadlines. Ensures profits and losses are documented accurately. Achieves and exceeds goals including performance goals, budget goals, team goals, etc. Develops specific goals and plans to prioritize, organize, and accomplish your work. Monitors all taxes that apply, ensuring that taxes are current, collected and/or accrued. Supports a strong accounting & operational control environment to safeguard assets, improve operations and profitability and manage business risks."
Accounting Manager,"FUJIFILM Business Innovation (Thailand) Co., Ltd.","Chatuchak, Bangkok",Taxation,Full time,,,"Key Responsibilities: Obtain and maintain a thorough understanding of the financial reporting and general ledger structure. Ensure an accurate and timely monthly, quarterly and year end closing report. Ensure the accurate and timely processing of positive pay transactions. Supports budget and forecasting activities. Collaborates with the other department managers to support overall department goals and objectives. Ensure all payments had been made properly and align with group policy as well local internal control and tax requirement (if applicable). Responsible for all tax related including mid-year and year-end tax filing. Responsible for company AGM. Monitors and analyses department work to develop more efficient procedures and use of resources while maintaining a high level of accuracy and competency. Ensure all B/S reconcile be accurately prepared and within timely manner. Ensure a clean and timely year end audit, from both internal and external auditors. Assist in development and implementation of new procedures and features to enhance the workflow of the department as well as process improvement. Any other functions that require by supervisor. Qualifications : Bachelor’s Degree or higher in Accounting. At least 10 years’ experience in accounting, preferable in MNC and service/trading business. Experience with leasing business would be an advantage. Ability to do multi-task, work under pressure and meet deadlines required. Strong knowledge of accounting principle, IFRS, taxation, and other related. Knowledge of business process, financial, planning and service/trading system Excellent in MS office esp Excel and experience with ERP system Good command of written and spoken English. Reliable, organize, self-motivated, and self-starter with attention to details Good analytical & presentation skills. Excellent convincing and superb negotiation and communication skills Teamwork and strong working relationship with stakeholders at any level Proactive thinking with ‘can do’ attitude"
Accounting Staff/เจ้าหน้าที่บัญชี,"ANEST IWATA SOUTHEAST ASIA CO., LTD.","Huai Khwang, Bangkok",Other,Full time,,,"1. Have Knowledge in accounting GL,AP,AR,ASSET 2. Able to work in HR & Admin"
**VERY URGENT** Tax Compliance - Contract 3 Years - Salary Open - BTS Ha Yaek...,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Taxation,Full time,,,"Looking for experienced in Tax Compliance for Oli and Gas Business! ◆Basic information◆ Location: BTS Ha Yaek Ladprao /MRT Phaholyothin Working Hours: Monday to Friday, 8.00 AM – 17.00 PM Job Description: Manage, control, and ensure full compliance with tax laws and regulations both in Thailand and overseas countries. The scope of taxes covers direct and indirect taxes including but not limit to petroleum income tax, corporate income tax, withholding tax, value added tax, and specific business tax. Calculate taxes and prepare monthly/quarterly/annual tax returns for filing to tax authorities. Calculate, post entries, monitor and analyze petroleum income tax, corporate income tax, and deferred tax for domestic and international assets (where there is no finance manager to support) for period-end account closing on a monthly and quarterly basis.Coordinate with accounting team and external tax consultant to provide information to support international assets’ tax calculation and filing. Monitor and review tax return filing for international assets prepared by local tax consultants (or local finance manager). Provide tax-related information or relevant documents to support auditing and investigation procedures of auditor and JV partner audit, including response to queries raised (if any) therefrom. Develop, and maintain related tax compliance policy, standard, and procedures. Build and maintain good relationship with stakeholders and cooperate all tax compliance activities with both internal and external parties. Keep adherence to government conditions and requirements in relation to tax. Requirement: Bachelor’s degree or higher in Accounting At least 2 to 5 years of working experience in Tax Compliance or Auditor with CPA Understand the tax compliance, tax accounting process and business requirements Demonstrate skills to comprehend tax and business issues affecting tax results and digitize tax compliance. Good Command of written and spoken English PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. บริษัทจัดหางานเพอร์ซอลเคลลี่เอชอาร์เซอร์วิสเซส (ประเทศไทย) จำกัด Narakorn Aphichonpongsa (Tay) M (+66) 86 902 9043 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 l Thailand *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy and consented to the collection, use, and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th [link removed] for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know."
*URGENT Cost Accountant Senior - Supervisor find out more details via e-mail,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Taxation,Full time,35000,54999,"Base max at 50K Duties Month - end closing process for costing. Analysis variance between actual cost and standard cost. Assist in preparation of Business Plan related to production cost. Assist in preparation of Business Plan related to production cost. Requirement Bachelor’s degree in Accounting Experience for costing process 4 - 5 Years Experience for BOM preparation and standard cost calculation. Experience in SAP Fair in English language (Mainly for writing an email) PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. K. Tartara (Fang) Tel. 096-9629646 Remark: Only shortlist candidates will be contacted *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. **By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th [link removed] for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know."
Cost Controller (50K–80K) (SDG-101260)/เจ้าหน้าที่ฝ่ายควบคุมต้นทุน,"RGF HR Agent (Thailand) Co., Ltd.","Lat Krabang, Bangkok",Accounts Receivable/Credit Control,Full time,,,"<Job responsibilities> Develops and conducts cost review meetings with department manager. Prepare monthly management report and highlight to management and or Business Unit any significant variances. Monthly financial analysis, costing report. Ensure accuracy and timelines of costing information. Prepare and calculate product cost and transfer price. Full function in fixed assets start from CAPEX to fixed assets until write-off. Recommend any updates to accounting policies affecting fixed assets to management Drives the budget and forecast process Conducts variance analysis against budget and forecast, presenting results to management. Costing and continuous improvement. Other tasks as assigned by direct superior <Necessary Skill / Experience > Bachelor's degree Bachelor's degree in Accountance or Finance Minimum 5 years of experiences in Factory Costing 3 years experience in MNC (Manufacturing would be an advantage) Advanced in analytical skills and in Microsoft office, especially Excel Knowledge of IFRS, TFRS and TAX Can-do and problem-solving attitude Ability to work under pressure and Manage multiple tasks Excellent communication skills for the Ability to Manage time effectively and efficiently Proficiency in English language communication <Preferable Skill / Experience> Knowledgeable in SAP or ERP Language Skill English level : Conversational Japanese level : None Workplace Area: Lat Krabang, Bangkok Working Hour: 7:00-16:30( Monday-Thursday 07.00-16.30 and  Friday 07.00-16.00 onsite 100%) About the Benefits 50,000–80,000THB About the company Product & Service: Optical Lens Manufacturer Business Type: Apparel / Accessories;Everyday Goods / Toys; HOW TO APPLY FOR A JOB, *** Please submit your resume with recent photo, your current & expected salary and reference:Cost Controller (50K–80K) (SDG-101260) *** any query regarding this Job or application method, please call Tel. 02-021-0333 689 BHIRAJ TOWER at EmQuartier, 23rd Floor, Room No. 2304-2306 Sukhumvit Road, North Klongton Sub-District, Vadhana District, Bangkok 10110 Website: www.rgf-hragent.asia and find us on Facebook: RGF Thailand"
Accounting Manager/ผู้จัดการแผนกบัญชี,Absolute Clean Energy Public Company Limited,"Thon Buri, Bangkok",Financial Accounting & Reporting,Full time,,,"Job Responsibilities : Ensure timely and accurate monthly closing for all Legal - Entities supported by each group of accounting. Support management in developing policies and procedures that streamline accounting processes. Confirm subsidiary compliance with adoption of key accounting policies and accounting adjustments. Perform GAAP conversion from NPAEs to PAE to comply with the TFRS for Public Company. Prepare accounting package for the Group subsidiaries and identify and manage all elimination entries. Ensure all inter-company balances are reconciled in time and escalate matter in case of differences. Identify and prepare the related party transaction reports. Prepare full set of monthly financial statements of the Companies in the group including reconciliations to management reports and quarterly consolidation financial statements. Prepare the annual statutory accounts and liaise with auditors to complete the quarterly and annual year-end audits. Coordinate with and external auditor, including relevant department both inside and outside company. Collaborate with management, department personnel and cross functional team on various accounting issues. Ad hoc reporting and analysis projects in excel and adaptive planning. Qualifications : Bachelor’s/Master’s Degree in Accounting Minimum 5 years proven relevant work experience Holding CPD license is a must Work relevant experience includes audit, accounting and taxation Deep understanding of the accounting principles Understand how accounting principles affect financial reporting Extensive knowledge of group management reporting, consolidation reporting intercompany transactions, budget cost controlling and project finance controlling Ability to organize, coordinate and facilitate external audits Location : Sinn Sathorn Tower (ฺBTS: Krung Thonburi Station) Working Day : Mon - Friday (9 AM - 6 PM)"
Accounting Senior Staff,"Mitsui Grinding Technology (Thailand) Co., Ltd.",Chon Buri,Financial Accounting & Reporting,Full time,,,"Responsibility Perform accounting analyses and reporting to support decision-making purposes. Ensuring transactions are supported by accurate and relevant supporting documents. Preparing payment vouchers along with supporting documents for approval. Preparing withholding Tax certificates for suppliers. Communicating and sharing with suppliers’ certificates and payment information. Monitoring Tax Invoices from Suppliers (Related to PP.30). Carrying out month/year-end closing procedure including AP balance sheet accounts reconciliations. Handling the Reconciliation of Withholding Tax with Accounting reports, Control sheets, and bank. Preparing PND.1, 3,53, and PP.30, VAT. Preparing accounting reports (to Internal Management and Thai administrations). Review financial reports to identify and explain variances Follow documentation retention policy to maintain accounting files Prepare cash flow statements and resolve outstanding balancing issues Adhere to standard accounting principles and company procedures Take care of cost accounting work and be able to set up a cost accounting system to calculate the cost of each type of product, taking into account raw material costs. Labor and production expenses with appropriate allocation. Check the product movement list and be able to find the value of raw materials (RM), work in progress (WIP), and finished goods (FG). Work with the team to prepare a production cost budget. Able to analyze actual costs and standard costs and analyze causes and factors. Prepare production reports related to cost accounting that are useful to the management of the Accounting and Finance Dept. Coordinate with other agencies to make reports. Qualification and Experience Requirements: Bachelor Degree in accounting / business or comparable At least 5 years’ controlling experience in manufacturing Experience in manufacturing business and understanding of manufacturing environment Cross functional experience & Business planning experience Excellent at excel skills. Experience with SAP, Oracle, skilled with FICO module. Experience in a multinational company a strong plus English: Fluent at both oral and written is a must. Close to work with colleagues on the production shop floor Interpersonal Competence: Strong communication skills Can work under pressure High sense for responsibility and team player for plant management Friendly, flexible, and open-minded and enjoy working with diverse people in an international environment. Driving changes. Company Welfare: Annual leave 6 – 15 days / year Provident fund 5% Meal allowance Diligence allowance Cola Allowance Uniform Annual health check and Influenza vaccine for associate Shuttle bus (Bangpakon, Bangsaen, Panus, Panthong, Banbueng, Nonghack) Social Security OT and Meal allowance for overtime working days Bonus Interested candidates are invited to send full detailed resume, stating current and expected salary, and enclosing a recent photograph to us by click applying to this job. Human Resources Department Mitsui Grinding Technology (Thailand)Co., Ltd. 700/338 Amata City Chonburi Industrial Estate, Moo 6 Bangna-Trad., T.Donhuaroe., A.Muangchonburi,. Chonburi. 20000  Tel. 038213382-3 # 204 , 081-7020227 Contact: K. Nongyaow,  k. Nichanan Office number 0817020227 Time: 08.30 am - 05.00 pm Website : https://mgt-thai.co.th/th/"
Account/ธุรการบัญชี / นักบัญชี,NW Animal Hospital,"Bang Kruai, Nonthaburi",Taxation,Full time,16000,19999,คุณสมบัติผู้สมัคร วุฒิการศึกษ ระดับปริญญาตรีขึ้นไป สาขาบัญชี วุฒิการศึกษา ปวส. สาขาบัญชี (ผู้ช่วยผู้จัดทำบัญชี) มีประสบการณ์ทำงาน หรือฝึกงาน ในการทำงานบัญชี มีพื้นฐานด้านบัญชี และภาษี ที่ดี มีทัศนคติในการทำงานที่ดี กระตือรือร้น มีมนุษยสัมพันธ์ ซื่อสัตย์ และเชื่อถือได้ มีทักษะด้านการสื่อสาร และการประสานงานเป็นอย่างดี สามารถใช้โปรแกรม MS word& excel และโปรแกรมบัญชีสำเร็จรูป หน้าที่ความรับผิดชอบ ดูแลการเงินของบริษัท สามารถวางแผนงบประมาณบริษัทได้ ทำงานกับผู้บริหารในการจัดสรรงบประมาณ
Risk Advisory - Internal Audit - Manager/ Senior Manager,"Deloitte Touche Tohmatsu Jaiyos Advisory Co., Ltd.","Sathon, Bangkok",Audit - Internal,Full time,,,"If you have experience in Financial/ Internal Auditor with enthusiasm, willingness to learn new skills and step out of routine way of performing work. This is time for you to join our Risk Advisory - Internal Audit & Control team Work you'll do Manage internal audit engagement including: Perform risk assessment Develop risk model and universe Develop audit plan o Develop audit program Execute audit project work plan (control design effectiveness and control operating effectiveness) Deliver and present internal audit report Manage special projects, such as internal control gap analysis, compliance review (e.g. Bank of Thailand, FCPA, EH&S, etc.), internal control breach investigation, manage inventory count assignment, etc. Advise project team for rationale business impact and recommendation/areas for improvement Review engagement deliverables and present to client management and audit committee Monitor engagement work progress against work plan and budget Assist business development activities such as proposal preparation and selling presentation You just have, Bachelor’s degree or higher in Accounting, Business, Finance, Economics, AIS, MIS, or/and MBA Hold cerficate of CIA/CPA/CCSA/CRMA will be given additional consideration 8-10 years working experience as professional in Internal Audit/ Internal Control/ Risk Management/ Compliance/ Financial Audit. Multi-national consulting environment is preferred Experience in Risk Assessment, Internal Control, Process Improvement preferred Able to demonstrate accuracy and attention to detail Leadership and Be open minded to flex in various project types with ability to work independently with less supervision and strong commitment Able to work in upcountry and travel occasionally Good command of Thai and English both writing and speaking Actively participates in key learning and development opportunities for his /her level Be a good team leader  and be able to handle revenue target with project management. For male, Certificate of Military Exemption is a must. Applications are requested to send a resume together with expected salary and recent photograph by clicking on "" Apply Now "" All application will be treated strictly confidential. *Eligible applicants must be legally authorized to work in Thailand. Human Resources Department Deloitte Touche Tohmatsu Jaiyos Co., Ltd. AIA Sathorn Tower, 23rd - 27th Floor, 11/1 South Sathorn Road, Yannawa, Sathorn, Bangkok, 10120, Thailand Tel: +66 (0) 2034 0000 | Fax: +66 (0) 2034 0100 http://www.deloitteap.com [link removed]"
Senior Accounting Officer at Leading Digital Agency,TBS Marketing,"Suan Luang, Bangkok",Taxation,Full time,,,"We are looking for an experienced Accounting Officer to join our dynamic team at TBS Marketing.  We are an established Digital Marketing Agency based in Bangkok servicing both a local and international client base across a multitude of industries. Responsibilities: Prepare invoice documents to make a receipt and a sales tax invoice to the customers in Thailand and overseas. Summarize month-end of tax invoices. Collect and check a withholding tax certificate (WHT3%) Set up an office cash flow Proof of all payments and monitor for the actual cost. Communicating with customers via phone and e-mail (in Thai & English) Operate a month-end PND 1, PND 3, PND 53(withholding tax), and PP 30 Operate to issue an invoice with a date and document numbers to record an accounting cost Prepare payroll, Tax, a social security fund form, employee loan report, and an employee payment slip Prepare a month-end analysis and closing report and an account reconciliation. Bill payment record and a journal entries summary month-end Check bank and clearing accounts Estimated net profit of PND 51 Summarize a month-end report to the management level. ZOHO books system to show the company's budget report. Make a budget for the company. Social Fund Registration and Return for company Prepare monthly employee loan report Prepare tax reports Employment of employers (PND.1kor) Handle Cash Management (Escrow Account) –Kor To 26 Kor Calculate wage form for reporting wage according to Form 20 Kor personal tax preparation and year-end tax projections Submit documents and visa applications for foreigners. Tax planning (saving tax for the company and personal tax income (PND.90,91) (Taxes for foreigners)) Coordinate and lead the annual audit process, liaison person to external auditor (Annual Audit, PND 50) Prepare documents for closing financial statements for holding company Primary responsibility is to prepare accounting monthly close - Ensuring accurate and timely bookkeeping and monthly & yearly closing. Prepare monthly account reconciliations. Handling Payment vouchers, Receive vouchers, Accounts Payable, Accounts Receivable, Accrued expenses, Withholding Tax, Value Added Tax, Petty cash and related transactions for inputting into the accounting system program. Ensure transactions are properly recorded and entered into the computerized accounting system Issue billing notes to customers and coordinate with sales team. Deposit cheques received from customers. Maintain accounts receivable systems in order to ensure complete and accurate records of all money. Verify monthly expenses claim from employees. Deal with customers and supplier account queries via telephone & email and resolve queries promptly. Dealing with external and internal auditors. Liaise with bank relating to financial documents. Organise Payroll Other relevant assignments Requirements: Strong understanding of accounting theory At least 3 years experience in accounting Good organizational skills & ability to meet assigned deadlines Good Verbal and Written Communication Skills in English – this is a must as we mainly speak English in the office Competency using Microsoft Outlook and Microsoft Office – Word, Excel, etc. Able to multi-task, problem solve, and work on own initiative Desirable but not necessary: Knowledge of coordinating and managing applications & renewals for foreign Visa & Work Permits for the Kingdom of Thailand. CPD Certification CPA Certification Package Includes: Competitive Basic Salary (negotiable depending on experience) 5-Day Working Week Generous Holiday Allowance Private Healthcare Insurance Travel Expenses Bonus Incentives & Rewards Interested candidates, Please send your English resume with your recent photo and expected salary TBS Marketing No 1023, 2nd Floor, TPS Building, Pattanakarn Road, Suanluang, Bangkok, 10250 Tel : 0-2-717-8124 tbs-marketing.com"
Financial Consolidation - Chatuchak - 50K (Contract 3 years),"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.","Chatuchak, Bangkok",Audit - External,Full time,,,"Position:                          Financial Consolidation Location:                         Chatuchak area Salary Range:                 50K (Contract 3 years) Working Hours: Monday – Friday: 8:00 – 17:00 Industry:                         Oil & Gas industry Responsibilities: Perform monthly account closing e.g. bank reconciliation, accrual, mark-to-market derivatives Perform monthly consolidation, inter-company transactions and analyse consolidated financial statement Prepare quarterly and year-ended consolidated financial statements and disclosure in notes to financial statement Prepare related documents for submission to the Parent company Deal with external auditors on quarterly review and year-ended audit Prepare report/form for submission to regulators e.g. DBD, BOT Requirement: Bachelor’s degree in accounting and/or master’s degree in finance or accounting Minimum 3 years of experience in audit field with total experiences at least 5 years Good knowledge in accounting standard (IFRS) Excellent command of spoken and written English Strong computer skills, proficient in Microsoft Office, SAP *All applications will be treated in strict confidence. All matrial submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit https://www.persolkelly.co.th/ for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. ******************************************************* PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.27th Floor, Empire Tower 3, Unit 2707,1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 | Thailand"
Management Accountant,TurbineAero Repair Ltd.,Chon Buri,Financial Accounting & Reporting,Full time,,,"Key Responsibilities:- Responsible for accounting full functions such as AP, AR, GL, Inventory, Tax, Asset, Costing transaction recording. Perform monthly and yearly financial close, and monthly tax, forecast and budget, and financial reporting & analysis. Ensure all financial reports are in accordance with accounting standards and corporate policies. Monitor and review Accounting and related report for accuracy, prepare management report and other tasks as assigned by manager. Qualifications: Bachelor degree or higher in Accounting / Finance or related fields. At least 3-5 years of work experience related to manufacturing industry accounting or working with multinational company is a plus. TOEIC score above 550 (please attached evident file) or similar English proficiency test result would be an advantage. Knowledge of Accounting standard (IFRS/US GAAP) and excellent MS office skills. Experience in Accounting system, (Syteline is an advantage). A structure working method, assertiveness, and attention to detail, good communication skills. Able to work under pressure."
Assistant Accounting Manager (GL)/ผู้ช่วยผู้จัดการแผนกบัญชี,"THUN Holding Co., Ltd.","Ratchathewi, Bangkok",Audit - External,Full time,,,"- ควบคุมและตรวจสอบความถูกต้องของงานบัญชีทั้งระบบ - ปิดบัญชี และปิดงบการเงินอย่างถูกต้อง และนำส่งงบการเงินรายเดือนและรายปี - ทำงบการเงินรายไตรมาสของบริษัทฯ ย่อย และงบการเงินรวม (กรอกงบและเก็บรายละเอียด) - ตรวจเอกสาร Payment, Voucher ต่างๆ - จัดการดูแลระบบงานบัญชีให้สอดคล้องกับนโยบายบริษัท และกฎหมายหมายที่เกี่ยวข้อง - ประสานงานกับผู้ตรวจสอบบัญชี ทีม Auditor สรรพากรและหน่วยงานภายนอก - มีความรู้ความเข้าใจมาตรฐานการบัญชี มาตรฐานการรายงานทางการเงินสำหรับ NPAEs & PAEs - เดินทางไปประชุมทีมและตรวจหน้างานของบริษัทฯ ย่อยที่ต่างจังหวัด โดยเฉลี่ยเดือนละครั้งที่มีเบี้ยเลี้ยงให้ (ธรุกิจโรงแรม) - อื่นๆ ตามหัวหน้างานและผู้บริหารได้มอบหมาย"
Investment Banking Officer,Bangkok Bank Public Company Limited,"Bang Rak, Bangkok",Other,Full time,,,"Job Description: Manage the assigned investment transactions to raise funds in capital markets on investment products including Debentures, Capital restructuring, Syndicated Loans, Merger and Acquisition and other financial products Evaluate, give advice and involve in the evaluation, origination, execution and placement investment products Provides financial analysis reports for investment transactions and road show presentations for corporate client companies Qualifications: Master’s Degree in Finance, Accounting, Financial Engineering, or any related field Excellent personality and can do attitude Required Skills: Excellent analysis skill and thorough knowledge in money market and financial analysis (modeling and projection), ability to conceptualize the combination of different corporations High communication, negotiation and presentation skills Fluent in both written and spoken in English (TOEIC 600 or equivalent) Computer literate in Microsoft Word, Excel and Power Point Working Location: Operating at Silom Head Office If you require more information: please contact Khun Waraporn Tel. 085-4814111"
Senior Accounting Officer,dentsu international Thailand,"Bang Rak, Bangkok",Financial Accounting & Reporting,Full time,,,"Key responsibilities: Perform month-end account closing activities and reconciliations Maintain general ledger accounts and prepare journal entries for accruals and variances Generate and distribute account management reports on monthly basis Perform accounting analysis for cash accruals, account payables, account receivables, reconciliations, and foreign exchange Provide appropriate accounting information to customers when needed Assist various departments in accounting issues and queries Analyze and perform foreign currency exchanges Support Auditor in conducting internal and external audits Assist in tax preparation and filing activities Reconcile general ledger accounts and revenue accounts Review financial reports to identify and explain variances Follow documentation retention policy to maintain accounting files Prepare cash flow statements and resolve outstanding balancing issues Adhere to standard accounting principles and company procedures Perform accounting analyses and reporting to support decision-making purposes Qualifications: Bachelor’s degree in accounting Over 4 years of working experiences Work fluent in Excel/Word Good command of verbal and written English Excellent communication and interpersonal skills Be flexible and efficient coping with environment change Capabilities to meet deadlines and work under pressure Hands-on and a positive attitude"
