Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
HR Payroll & HRIS,"Tri Petch Isuzu Leasing Co., Ltd.","Chatuchak, Bangkok",Administrative Assistants,Full time,,,"Responsible for all processes of Payroll Administration Maintain payroll processing system and records by gathering, calculating, and inputting data. Create and maintain employees’ payroll records. Calculate wages and applicable deductions based on employee attendance and person data. Reconcile monthly employee paid benefit billings to payroll records Ensure wages and tax withholdings comply with regulations Report on payroll expenses, also upload payment slips to all employee. Schedule bank payments and upload payment statements Serve as a point of contact for employees with payroll or benefits questions HRIS Administration & Support Provide technical support, troubleshooting, and guidance to HRIS users Optimize HRIS processes, integrating, and perform diagnostic tests Update HRIS structure to align with HR or Organization changes Identify system improvements and enhancements; recommends and implements solutions. Manage permissions, access, personalization, and similar system operations and settings for HRIS users Perform system upgrades, as well as provide training and technical support Qualifications Minimum 3 years experience in HR with payroll and benefits administration or HRIS administration Excellent in English Basic knowledge of the laws, policies and procedures governing health and life insurance administration Able to multitask, prioritize and manage time efficiently Have “Can do” attitude"
Sales Support/ Administrator/เจ้าหน้าที่สนับสนุนการขาย,Bangkok MSP Company Limited,Bangkok,Client & Sales Administration,Full time,20000,29999,"Supporting Sales's activities /Coordinating Customers / Customers Retention. Ensure that all sales activities and documents are completed on time. Issue all quotations/letters / internal memos / Service Order / Power Point Presentation / other documents to support all sales team members. Arrange document for messenger sending to customers or assigned persons. Coordinate with customers to support Sales's activities i.e. details of operations (for issuing Service Order) / billing. Do customer satisfaction survey /customer database. Coordinate internal / other departments i.e. check resource/routing from Operation / other department. Prepare all admin documents i.e. stationary/repairing from /IT and etc as per daily requests. Control Company's Premium Stock, prepare inventory of Premium Stock and prepare Premium Gift as per request. Handle Sales Support Tasks as per day to day instruction."
Sale Admin/เจ้าหน้าที่ธุรการฝ่ายขาย,"B POWER FACTORY AND CONSTRUCTION CO., LTD.","Bang Na, Bangkok",Client & Sales Administration,Full time,,,Job Description : จัดเตรียมเอกสารให้เจ้าหน้าที่ฝ่ายขายเพื่อใช้ประกอบในการประมูลงานกับลูกค้ารายต่าง ๆ ตรวจสอบคำสั่งซื้อ จัดทำใบเสนอราคาตาม Order ที่ได้รับมอบหมาย สนับสนุนงานฝ่ายขายในเรื่องต่าง ๆ เช่น การจัดเตรียมเอกสาร การพบปะลูกค้าพร้อมฝ่ายขายเพื่อให้ข้อมูลและสร้างความเข้าใจด้านเทคนิคต่อลูกค้า รวมถึงงานอื่น ๆ ที่ได้รับมอบหมายฯ บันทึกข้อมูลใบเสนอราคาและใบสั่งขายลงในระบบและโปรแกรมต่างๆของบริษัท สรุปยอดขายประจำเดือนและจัดทำรายงานต่าง ๆ  ที่ได้รับมอบหมายเพื่อนำเสนอผู้บริหาร Qualification : วุฒิการศึกษาปริญญาตรีขึ้นไป ในสาขาการจัดการ หรือสาขาที่เกี่ยวข้อง สื่อสารภาษาอังกฤษได้ มีทักษะด้านการใช้คอมพิวเตอร์โปรแกรม Microsoft Office มีมนุษย์สัมพันธ์ที่ดี มีความกระตือรือร้น มีความขยันหมั่นเพียร มีความสามารถในการเรียนรู้เรื่องต่าง ๆ ได้ด้วยตัวเอง มีความซื่อสัตย์ โปร่งใส มีความอดทนต่อแรงกดดันสูง สามารถขับรถได้และมีใบขับขี่ หากอยู่อาศัยในพื้นที่บางนาจะพิจารณาเป็นพิเศษ
Customer Service Coordinator (Mandarin),"Skillpower Services (Thailand) Co., Ltd.","Bang Rak, Bangkok",Administrative Assistants,Full time,,,"MAIN FUNCTIONS support coordination and operation for Customer Service team Master Data Request (Customer Data) - Receive inquiries of master data creation/change from Customer/CAS/Sales/Sales Assistant - Submit master data creation/change requests to Master Data Operations via Master Data Related Tool and seek for proper approval for each request - Validate master data request progress and completion - Responsible to achieve target KPI or related stewardship and reporting - Follow the procedure/ guidelines - Maintain and update the contacts lists - Build and maintain knowledge database Master Data Related Tool and system interfaces - Support and coordinate with system support team for issues/ testing of master data related tool and interfaces Other assignments : - Depending on team/ group priorities and need, role is not limited to above activities. Position will received direction and support. QUALIFICATIONS Bachelor's degree in any field (with Mandarin skill as 3rd language) New graduate or few work experience is welcome Excellent verbal and written communication skills Communicable in English and Good in Mandarin (HSK 5+) Proficient in Microsoft Offices, Experience in using company system is a plus Fast learner, Able to work in team and individually Time management, Detail oriented, Service minded Strong administrative, communication and coordination skill Work Schedule: Mon-Fri, 8.00-17.00 Location: BTS Saladaeng, MRT Lumpini or Silom Company: International Oil & Gas Employment Type: Contract 1 year with benefits (renewable based on performance and company consideration) If you are interested, please click apply with your resume (with photo) attached and provide your expected salary. All information provided will be kept confidential and used only for recruitment process."
Administrative Coordinator,Peter And Brooks Company Limited,"Bang Rak, Bangkok",Administrative Assistants,Full time,,,"The Peter and Brooks Co., Ltd. team is actively looking for a junior candidate to fill the full-time position of Administrative Coordinator , in Bangkok, Thailand. ABOUT US Our activity lies within supplying coloured gemstones to local and international manufacturing companies. Our dynamic team is headed by the company’s two founders who are both Swiss nationals. JOB DESCRIPTION We are looking for someone who will be flexible with their tasks and who is keen to learn. The candidate will assist the Directors and Office Manager in day-to-day operations, including but not limited to: Preparing documents for import and export; Filing and administrative duties; Assistance with visa application and work permits; Following-up of orders; Other duties. REQUIREMENTS We are looking to hire a dynamic individual with a good knowledge of English. We are willing to offer training for a junior graduate with little or no experience within the gemstone industry. The candidate will be an organized, adaptable and motivated individual. Remuneration will be discussed during the interview."
Personal Assistant,LOMR COMPANY LIMITED,"Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"Responsibilities Project Tracking & Coordination: Collaborate with relevant stakeholders to monitor the progress of various projects. Keep track of business performance metrics and financial planning aspects. Consolidate reports, create presentations, and prepare necessary documents for monthly board meetings. General Administrative Support: Manage schedules and calendars for board members, including arranging meetings and appointments. Handle correspondence and communications on behalf of the board, including emails and phone calls. Organize travel arrangements and itineraries for board members. Prepare and maintain important documents and files related to board activities. Assist in the organization of board events and meetings, including logistics and materials preparation. Qualifications: Education : A diploma in Business Administration or a related field is typically required, indicating the need for foundational knowledge in business practices and principles. Experience : Prior experience as a Personal Assistant or in a similar administrative role is crucial. This experience helps to ensure that the candidate is familiar with the tasks and responsibilities they will face. Skills: Communication : Strong written and verbal communication skills are essential. The role involves handling correspondence and communicating with stakeholders, making clarity and effectiveness in communication paramount. Coordination : The ability to collaborate with various teams and stakeholders to track project progress requires excellent coordination skills. Organizational and Time Management : These skills are vital for managing schedules, preparing documents, and ensuring that all tasks and meetings are well-organized. Pressure Management : The capacity to work under pressure and adapt to changing situations is important in a dynamic business environment. Technical Proficiency : Knowledge of MS Office and other management tools is necessary to create presentations, manage files, and track business metrics. Multitasking and Prioritization : Daily workload varies, so the ability to multitask and prioritize tasks ensures efficiency and meets deadlines. Business Acumen : A basic understanding of finance, business analysis, familiarity with contract terms, and business agreements are important for making informed decisions and understanding the broader business context. Confidentiality : Discretion is crucial when handling sensitive information to maintain the trust and integrity of the board and the organization. Personal Attributes: Problem-Solving : Being proactive and having the ability to independently solve problems are key to handling unexpected challenges. Flexibility and Adaptability : The role may involve fluctuating workloads, requiring the ability to adapt to new tasks and situations swiftly. Professional Demeanor : A professional and approachable demeanor helps in creating a positive impression and maintaining effective working relationships."
HR Officer/เจ้าหน้าที่ทรัพยากรบุคคล (Payroll),VS Chem (1970) Ltd.,"Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"Responsibilities 1.  Maintaining personnel database for all employees in HR information System (HRIS) 2.  Handling daily transactions and preparing reports from HRIS 3.  Supporting HRIS users 4.  Providing supports to employees on HR related services 5.  Taking parts in all HR tasks, projects and activities as assigned Qualifications 1.  Bachelor's Degree or Higher 2.  Experiences in Human Resources Management especially in Payroll and familiar with HR Information System 3.  Proficient in Microsoft Office especially Microsoft Excel and Data Handling 4.  Has good analytical and systematic thinking skills 5.  Has learning agility and adaptability 6.  Good Communication Skills in both Thai and English 7.  Excellent Team Player"
Admin Executive,"APEX LOGISTICS INTERNATIONAL (THAILAND) CO., LTD.","Huai Khwang, Bangkok",Administrative Assistants,Contract/Temp,,,"Apexlogistics- We Deliver Passion Good Reasons to Join with Apex ! Are you looking for an exciting new opportunity to show case your skills? If so, then this is the perfect chance, within the greatest global logistics company. Urgent ! Admin Executive (1 Person) Your Responsibilities Perform full range of effective administrative support and providing general support across the company. Be responsible to support administration affairs such as Air Tickets, Hotel, Restaurants, Transportation arrangement. Manage the office equipment, office supplies including stationeries and keep the inventory of the stock. Facilitate and organize internal/external meetings for the executive including preparation and compilation of papers/reports/business presentations. Sorting and distributing incoming and outgoing posts. Manage the office maid to maintain a clean and enjoyable working environment. Manage finger scans and face scans for the main entrance for all employees. Coordination of office activities and operations to ensure efficiency and adherence to company policies. Assists in planning and arranging events. Support some part of HR such as welcoming candidates for interview. Support some part of IT such as coordinate with regional IT about set up the new laptops for the new joiners (based on the regional IT support & instruction). Your Skills and Experiences Bachelor's degree in human resources, Arts, or any other related fields. At least 3 years’ experience in HR and Administration Function or related field. Good in English communications both speaking and writing Ability to work under pressure in fast paced environment, knowledge of principle of multi-tasks management and time management. Computer and internet proficient Having a sense of team spirit and service to employees. Benefit Salary negotiate depend on experience. Social Security fund. Group Health & Life insurance. Annual health checkup & Vaccine. Annual leave will be added to each additional year of service, with maximum 15 days Annual company trip, Outing Money support for birth chile, Death , and Marriage of employee. Bonus Working Day & Hours : Mon - Fri  from  9 . 00 - 18 . 00 hrs . Employment contract Start first year= 1 year contract Second year    = 3 years contract After finish 3 years contract = Permanent If you are passionate, driven and looking for a new and exciting opportunity within a successful and growing company, this may be the right rold for you. Please click ""Apply Now"" to submit your application. All personal information submitted by job applicants will used for recruitment purposes and we reserve the right to  consider the applications for other positions in our Group. Our Head Office located : Apex Logistics International (Thailand) Co.,Ltd Singha Complex, Unit 1405-1406., Floor 14., 1788 New Petchaburi Road., Bang Kapi sub-district., Huai Khwang district., Bangkok., 10310 Contact person : Namtip Suklert ( 094-494-3209 )"
Administrative Assistant,"BioNet-Asia Co., Ltd.","Phra Khanong, Bangkok",Administrative Assistants,Full time,,,Job Responsibilities Providing support to Pharmacovigilance manager and administrative staff. Managing and organizing files and documents for PV manager. Preparing documents of reports as required. Conducting daily reports.as required accurately. Liaising withing the company and other organizations Handling tasks as assigned. Job Qualifications Bachelor's Degree in any field. Willing to do paperwork. Pay attention to details and be flexible in the workplace. Being a fast learner and proactive. Being able to work under pressure. Having team player skills Having good computer skills. Being well-organized and able to prioritize / handling multiple tasks and requests. *Eng resume is preferable.
Executive Secretary to COO - Packaging Business (Pathum Thani),The Siam Cement Public Company Limited (SCG),"Mueang Pathum Thani, Pathum Thani","PA, EA & Secretarial",Full time,,,"Job Summary: This person is required to take charge of a broad variety of executive-level supports comprising schedule management, administration tasks, expense reports, meeting preparation, travel arrangements, remote decision making, business confidential information protection, and other ad-hoc projects as per request. Responsibilities: Handle correspondence in English Organize and service meetings Maintain effective records and administration Support and facilitate the Company's event when necessary Make travel arrangements Prioritize conflicting needs and handle matters Qualifications: Bachelor's Degree with G.P.A. at least 2.70 New grad are welcome. Experience in secretarial /administration tasks would be advantage. Fluent in written and spoken in English (TOEIC at least 750), a third foreign language (Chinese, and Others) will be an advantage Good command of Microsoft Office (Word, Excel and Power Point) Ability to prioritize work, fulfill a variety of high-level responsibilities of the jobs, and keep deadlines Good sense of work gauge to allot the time needed for task and prepared to manage an active calendar of appointments Expertise in planning complicated trips (transportation, logistics and accommodation) High degree of adaptability and a willingness to undertake daily administrative tasks Strong interpersonal skills; able to effectively communicate, interact, and work with individuals and groups Capable of working under pressure at times to handle a wide variety of activities and confidential matters with discretion Work location: Thai Containers Group Co., Ltd. (Pathum Thani Plant)"
Sales Support Officer,"BioNet-Asia Co., Ltd.","Phra Khanong, Bangkok",Client & Sales Administration,Full time,,,"Job Responsibilities Processing order from sales team and customers via email or phone. Checking prices and contracts are up to date. Talking phone call from customers or internal. Communicating internally important feedback from customers. Preparing and following up on any sales quotations made for sales team. Ensuring order processing in handled correct and in full. Job Qualifications Bachelor's degree in business administration or any related field. 1-2 years of work experience in sales admin, sales support or any related. Good command in computer literacy in Microsoft Office, Excel, SAP, Outlook etc. Basic knowledge of English Be keen or enthusiastic to learn new experiences. Strong interpersonal and communication skills. Able to join in teams work and work under pressure."
General Affair Officer/เจ้าหน้าที่ธุรการทั่วไป,Usui International Corporation (Thailand) Ltd.,Chon Buri,Administrative Assistants,Full time,,,"Responsibility 1. Taking care of facility management and maintenance, business and personal contacts, and cleaning and housekeeping services. 2. Procurement and inventory control of office stationery and pantry supplies. 3. Taking care of official documents such as purchase orders, invoice and other documents. 4. Taking care of any service to serve all customers and guests in a suitable way 5. Responsible for developing and implementing strategies to increase employee engagement. Qualification 1. Bachelor's Degree in Business Administration, Management, Human Resources or any related field. 2. Have relevant experience will be advantage (New graduate are welcome) 3. Good communication in English (Toeic 500+ will be plus 4. Able to use Microsoft office (Excel, PowerPoint) 5. Have service mind and coordination skill"
Human Resources Administrator (Visa and Work Permit Support)...,Child's Dream Foundation,Chiang Mai,Administrative Assistants,Full time,20000,24999,"Are you looking for a new, challenging job opportunity at a not-for-profit, development organisation in a fun team with a great passion for helping others? Child’s Dream Foundation in Chiang Mai, Thailand is seeking an ambitious Human Resources Administrator (Visa and Work Permit Support) Starting date of position – Immediately Together as a team, we at Child’s Dream are here to empower people in the Mekong Sub-Region. We do this by working in partnerships with communities to improve the health and education of their children, youth, and young adults for sustainable development. Our Human Resources Team needs your support with personnel-related administrative and legal tasks. Your duties and responsibilities include but are not limited to: Manage visa and work permit processes, including preparation, renewal, and cancellation for our foreign employees, volunteers and their family members Stay updated on regulatory changes and advise employees on visa-related queries Maintain a good relationship with labor department, immigration offices, and other related government offices Assist payroll by providing employee-related information and managing social security contribution, personal income tax, etc. Ensure compliance with Thai labor laws and handle related administrative tasks Prepare and submit annual compensation fund reports, employment status reports, yearly tax for foreigners, and other related government reports Provide general administrative support for various other HR processes We are seeking for someone who meets the following criteria: Education and work experience: A strong interest in working for an NGO and contributing to our vision and mission A bachelor’s degree in Business Administration, Human Resources or equivalent education At least 3 years of work experience in a relevant role Soft skills: Excellent organisational skills and prioritisation according to urgency and importance of tasks and issues Great attention to detail, a critical mind, and problem solving skills High level of flexibility Service-minded person with strong interpersonal skills who likes to interact with employees, external stakeholders and government offices in all personnel-related matters Positive attitude, open-mindedness, and approachability Strong cross-cultural verbal and written communication skills Dedicated team player, eager to learn and take on new or additional tasks Hard skills: Practical experience with visa and work permit processes, regulations, and requirements Knowledge about labor law, social security scheme, and personal income tax system in Thailand Solid IT skills (MS Word, Excel, Power point, E-mail) Language Skills: Fluent Thai language skills Strong proficiency in both written and verbal English communication Travel requirements: A driving license What we offer: A full time position in Chiang Mai, Thailand with an unlimited contract A multicultural working environment with more than 10 nationalities A working culture based on trust, constant exchange, lean hierarchy and constant learning and development The final salary will be decided according to the remuneration policy after the selection process, and based on the relevant work experience plus other monetary and non-monetary benefits Did we spark your interest? Wonderful! Please send your full application in English (including motivational letter, salary expectation, resume, university transcripts, and two references)  until 9th February 2024. We look very much forward to receiving your application and will promptly confirm its reception."
Secretary,ThaiNamthip Corporation Limited,"Lak Si, Bangkok",Administrative Assistants,Full time,,,"Responsibilities Manages calendar, coordinates/ sets up meetings, with internal and external functions, arranges travel & accommodation requirements. Prepares and issues administrative forms, memos, itineraries, meeting agendas/ minutes where required, for internal & external communications. Initiate OPEX & CAPEX of AVP TT-Sales office as annual & monthly basis. Coordinate with each region and other function to work on HC Budget, OPEX, CAPEX as annual budget. Monthly monitor and review OPEX, CAPEX vs target and report to AVP for any concerns. Facilitates all required administrative & coordination tasks related to AVP’s involvement. Coordinates closely with key stakeholders to ensure timely execution of planned activities & actions, able to identify/resolve issues and escalate to the appropriate parties where necessary. Qualifications: Bachelor's degree in business administrative or any related field. At least 3 years experiences in executive assistant, secretary, administrative in FMCG industry. Ability to understand and manage quantitative and qualitative data for consolidation and basic analysis. Computer Literacy: Good usage Microsoft Office (Power point, Excel) Good personality, service-minded, positive attitude and interpersonal skill. Good Command in English. Please send your resume, stating expected salaries, together with a recent photograph by clicking ""Apply Now"" ThaiNamthip Corporation Limited 214 Moos 5 Vibhavadirangsit Road, Tung Song Hong, Laksi, Bangkok 10210, Thailand ทางบริษัทฯ จะติดต่อกลับผู้สมัครที่มีคุณสมบัติตรงตามตำแหน่งงานเท่านั้น"
General Affair officer (Contract 1 Year),"Behn Meyer Chemicals (T) Co., Ltd.","Lat Krabang, Bangkok",Administrative Assistants,Contract/Temp,,,"Qualification 30 - 35 years old Bachelor’s Degree Minimum of 5 years of experience as general affairs in factory or trading company orCoordinate consultant and engineer in construction project. Proficient in Microsoft Office Suite and other relevant software Job Description Mainly being responsible for taking care of official documents such as purchase orders, invoice and other documents. Perform general affairs task such as facility management. Oversee and manage all administrative functions within the company. Coordinate and manage office facilities, including maintenance, repairs, and renovations. Manage vendor/subcontractor relationships and negotiate contracts for various services. Coordinate consultant and engineer in construction project. Ensure compliance with legal and regulatory requirements related to general affairs. Collaborate with other departments to support their general affairs needs and initiatives."
Business Enabling Officer / Senior Officer,"Deloitte Touche Tohmatsu Jaiyos Co., Ltd.","Sathon, Bangkok",Administrative Assistants,Full time,,,"Responsibilities: Provide administrative support throughout engagement life cycle Submit request for engagement code creation Prepare and submit Billing Request Prepare and submit disbursement request Perform administrator role for archiving system including account creation and access management Consolidate and follow up on individual task status Provide administrative support on engagement relates activities Prepare periodic reports as and when assigned Other ad-hoc support duties as and when assigned Qualification: 3 to 5 years of experience in backend support, office management or relate fields Bachelor's Degree in Business Administration, English, and/or other related fields Proficient in Microsoft Office (Word, Excel, Power Point, Outlook) and office management software (ERP etc.) Ability to perform basic data analysis Ability in English language skills in verbal and written communication Detail-oriented and well-organized Good team player and with positive attitude Strong communication and interpersonal skills Service minded"
Urgent ! HR Admin / Nakorn Pathom Area - Phutthamonthon  /  Good English / Up...,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Nakhon Pathom,Administrative Assistants,Full time,,,"Job description To be the main person to be responsible for all back office/admin tasks for Thailand office. To ensure smooth execution of all admin tasks and build smooth operational flow in the long term Support HR & Office related administration, processes, documentations Participate in recruitment process (i.e. CV screening, interview coordination, offer coordination, document coordination etc.) Assist with documents related to onboarding, modification, and termination of employment Support outsourced payroll administration (i.e. OT checks, timecard checks, data consolidations) Ensure the permanent availability of office supplier Requirement 2 -3  years of experience from HR Admin/Recruitment OR similar function Experience of overall admin function in the company (not only HR) English: fluent enough to communicate with other countries Able to commute to nakorn prathom area Proactive, high responsibility, able to work individual TOEIC certificate (700+) would be advantage"
Sales and Service Administration/เจ้าหน้าที่เซลล์ซัพพอร์ต,"NUTROLOGY LABORATORIES CO., LTD.","Mueang Pathum Thani, Pathum Thani",Administrative Assistants,Full time,,,"บริษัท นิวโทรโลจี แล็บบราทอรีส์ จำกัด (http://nutrologylab.com/ [link removed]) ตั้งอยู่ที่ตำบลบางเตย อำเภอสามโคก ใกล้กับตัวเมืองปทุมธานี เป็นผู้ผลิตสินค้าเครื่องดื่ม ชา กาแฟ อาหารเสริม ก่อตั้งเมื่อปี 2563 กำลังมองหาทีมงานเพื่อรองรับการเติบโต โดยมองหาตำแหน่งงานดังนี้ Sales and Service Administration (เจ้าหน้าที่เซลล์ซัพพอร์ต) หน้าที่ความรับผิดชอบตำแหน่งงาน จัดทำ ออกเอกสาร PO, Invoice, ใบกำกับภาษี, ใบเสร็จรับเงิน, ใบส่งของ, อื่นๆ ตามเอกสารเพื่อให้บัญชีโอนเงิน ติดตามตารางการผลิต ควบคุมสต๊อคสินค้ารายเดือน ควบคุมสต๊อควัตถุดิบรายเดือน จัดซื้อสินค้าตามที่ได้รับมอบหมาย โต้ตอบกับลูกค้าตามช่องทางที่ได้รับมอบหมาย จัดเตรียมเอกสารบัญชี/ เอกสารตัวอย่างสำหรับส่งออก ตามที่ได้รับมอบหมาย งานอื่นๆที่ได้รับมอบหมายจากผู้บริหาร หากมีประสบการณ์ทำงานด้าน ขายสินค้าเข้าร้านอาหาร/ โรงแรม จะพิจารณาเป็นพิเศษ คุณสมบัติ สามารถใช้งานโปรแกรม Excel, Power Point, Word ทำงานได้ละเอียด รอบคอบ และรวดเร็ว ชอบเรียนรู้สิ่งใหม่ๆ (มีคนสอนงาน) สามารถทำงานตาม Procedure ที่วางไว้ และพัฒนาให้ดีขึ้นได้ มีมนุษยสัมพันธ์ดี กระตือรือร้นในการทำงาน รายละเอียด เวลาเข้างานบริษัท 8.00-17.00 ทำงานเสาร์เว้นเสาร์ วันหยุดตามประเพณีไม่น้อยกว่า 13 วันต่อปี ลาพักร้อน 6 วันต่อปี ลากิจ 3 วันต่อปี ลาเพื่อฝึกอบรม ตามที่ตกลงกัน ตรวจสุขภาพประจำปี ประกันสังคม เงินเดือนเริ่มต้นขั้นต่ำ 18,000+ (ตามประสบการณ์และการตกลง)"
Account Assistant,An international construction company,"Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"Responsibilities: Verification of all invoices and supporting documents submitted for payment Preparation of reconciliations (bank, accounts receivable, accounts payable) and correction of discrepancies Coordinating with the internal audit function Relations with external partners for the development of required records (bank, external auditor, tax authorities) Issuance of debit notes, invoices, receipts and back charges if necessary Coordinating all tax calculation, statements, adjustments, reconciliation, filing and the related requirement including but not limited to VAT, Withholding Tax, Corporate Tax and Personal Income Tax Processing of applications for exemption from VAT and/or reimbursement of VAT Maintaining and up-to-date scanning of all records including payments to vendors (payment vouchers and its supporting documents) Maintaining and managing Fixed Asset Performing other duties according to supervisor Qualifications: 3 years of work experience in accounting/finance preferably as a Tax Accountant Good knowledge of accounting procedures and general ledger functions. Knowledge on taxation (PP.30,36 and PND.1,3,50,51,53,54) Computer literacy, particularly advanced MS Excel Good understanding of MS Office and accounting software (Quickbooks) Proficient command of English communication (written and spoken) Strong attention to detail with excellent analytical skills Ability to work long hours, six-day week (Monday-Saturday) , and overtime if and when required. Work Location : Near BTS Phloen Chit, MRT Lumpini"
Office Admin + Jewelry Inventory,"Kisna Gems Studio Co., Ltd.","Khlong San, Bangkok",Administrative Assistants,Full time,,,"We are looking for a responsible person for Office Admin plus Inventory Management Position Your job duties are simple and easy. It includes the following:- Perform basic Office Admin duties like contacting local Thai suppliers, paperwork, paper entry Manage Office supplies like printer supplies, manage any small office situations Inventory Management:- Manage our inventory (counting and updating in Excel file) Helping with Production process: Collect and pick up inventory in our office as needed for various orders Helping in Jewelry Production (we will give you all the training) You need following requirements:- Be a very responsible person Have basic English understanding (very basic is ok) Have  knowledge of Excel Attention to detail If you have some basic knowledge of Jewelry, it would be very helpful"
HR Admin Officer,Interthai Pharmaceutical Manufacturing Ltd.,"Chatuchak, Bangkok",Administrative Assistants,Full time,,,"MAJOR TASKS: HR data Key in Time Attendance Key in Overtime Other Administration work Responsible for recording Employee data & update status of Time Attendance and Overtime. Moreover key in other HR record as assigned. DUTIES & RESPONSIBILITIES: To maintain time attendance of all employees. To maintain overtime of all employees. To maintain absent data as leave type. (Sick Leave, Personal Leave, Vacation Leave  and etc.) To prepare overtime and absent data for payroll of each month. To take care a report of Social Security for register new employee (สปส1-03 or สปส103/1), Termination report (สปส6-09), Change the hospital (สปส6-02) A member of leader in projects assigned by superior. Other assignments from the managers. Company Activities Support Qualification: - Bachelor Degree - 1-3 years experience in administration tasks - Good computer skill - Good human relation"
Procurement Manager/ผู้จัดการฝ่ายจัดซื้อ,"Solar D Corporation Co., Ltd.","Lat Phrao, Bangkok",Administrative Assistants,Full time,,,"Job Description ควบคุม กำกับ ดูเเลบริหารจัดการงานของฝ่ายจัดซื้อ และงานด้านจัดซื้ออื่นๆ ให้เป็นไปตามเป้าหมายเเละนโยบายที่กำหนด บริหารกระบวนการทำงานจัดซื้อ และกำหนดนโยบายการจัดซื้อ ให้เป็นไปตามเป้าหมายขององค์กรได้อย่างถูกต้อง ครบถ้วน เเละโปร่งใส เปรียบเทียบและเจรจาต่อรองกับคู่ค้า เพื่อให้ได้สินค้าที่มีคุณภาพ รวมถึงการบริหารต้นทุนที่มีประสิทธิภาพ ประสานงาน ติดต่อในเรื่องการจัดส่งสินค้าของ Supplier และติดตาม Supplier เพื่อให้ส่งสินค้าตามจำนวนและระยะเวลาที่กำหนด ควบคุมกระบวนการสั่งซื้อวัสดุอุปกรณ์ สินค้า วัสดุสิ้นเปลืองสำนักงาน ตามงบประมาณที่ได้รับการอนุมัติ เเละควบคุมปริมาณสินค้าให้อยู่ในเกณฑ์ที่กำหนด ควบคุมดูแลการจัดทำใบขออนุมัติสั่งซื้อ (P/O) วัสดุอุปกรณ์ เครื่องมือ เครื่องใช้ต่างๆ เเละชุด uniform ที่ต้องใช้ประจำออฟฟิศและสาขาต่างๆ เเละ update ข้อมูลต่างๆในกรณีที่มีการเปลี่ยนแปลง พิจารณาและตรวจสอบเอกสารใบเสนอราคา สัญญาเเละเอกสารอื่นๆ ที่เกี่ยวข้อง ประสานงานกับหน่วยงานภายในเเละภายนอก เพื่อให้การปฏิบัติงานเป็นไปตามข้อกำหนดที่ตกลงร่วมกันกับ Supplier ให้สำเร็จ จัดทำแผนเเละงบประมาณประจำปีของฝ่าย งานอื่นๆที่ได้รับมอบหมาย Qualifications วุฒิการศึกษาระดับปริญญาตรี ขึ้นไป โดยเฉพาะสาขาการจัดการ/โลจิสติกส์ มีประสบการณ์ด้านงานจัดซื้อทั้งกระบวนการ อย่างน้อย 5 ปี ขึ้นไป มีประสบการณ์ทำงานด้านงานจัดซื้อต่างประเทศจะได้รับการพิจารณาเป็นพิเศษ สามารถสื่อสารภาษาอังกฤษ ได้ดี สามารถติดต่อประสานงานกับคู่ค้าต่างประเทศได้ สามารถใช้คอมพิวเตอร์โปรแกรม MS Office (Word, Excel, PowerPoint)ได้ดีคล่องแคล่ว ขยัน และซื่อสัตย์ และรักงานบริการ และมีความละเอียดรอบคอบมีความรู้ระบบISO9001,14001, 45001 เคยใช้ระบบ ERP จะได้รับการพิจารณาเป็นพิเศษ"
Data Entry Manager - CDC,CP AXTRA PUBLIC COMPANY LIMITED,Ayutthaya,Administrative Assistants,Full time,,,"Urgently Request !!! Work Location : CDC Wangnoi, Ayutthaya Working Every other Saturday Reporting to the Head of Operations Support, leading a team of 60 staff to accurately manage and control the end-to-end data entry process and documentation across all areas within the CDC, including inbound supplier processing and the issuing of dispatch documentation Job description Ensure data is accurately processed, and documentation is issued on time to the relevant stakeholders Securely store, control and track physical and electronic data (electronic where possible) and data entry related documents, including invoices, manifests, POD’s, etc. Audit data entry tasks across CDC to ensure the highest possible standards of accuracy. Implement data entry process mapping to continuously develop continuous improvement initiatives. Monitor, schedule and arrange data entry resources to match departmental workloads and times to ensure efficient use of data entry personal. Establish and implement data entry individual and team performance KPIs. Liaise with the operations management team to determine improvement opportunities across the data entry function. Liaise with WMS super users to ensure the WMS is utilized to the full potential. Lead your team to be the point of contact for suppliers and transporters, and that they are informed in a timely manner of information, developments and plans that affect their business. Ensure the continued professional development of your area of responsibility investigation team, to include the identification of suitable individuals in longer-term succession planning. Qualification Bachelor’s degree in any related field. Experience within a similar function with 5 years at a management level leading a large team and having a track record of driving sustainable improvements. Leading a large team within a fast moving, high volume and complex environment with a strong customer service and cost improvement bias. Excellent leadership skills and a ‘hands on’ inspirational management style, results-driven, communicative, highly numerate and financially astute. Proficient with warehouse management systems. Attention to detail with proven analytical troubleshooting and problem solution skills. Good Command of English and PC Literate. Highly proficient with Microsoft Excel, Word, Access programs. Able to work flexible hours with an open minded and positive attitude. Enjoy working as part of a committed, flexible team, and taking pride in everything you do. Families with working every other Saturday. *** Only short-listed candidates will be notified *** Interested applications, please send a resume in English Version with Photo and your Expected Salary through ""Apply Now""."
